PUBCHEM_SID	PUBCHEM_CID
144204651	7271
144204652	6575
144204653	3610
144204654	4284
144204655	3552
144204656	7860
144204657	8447
144204658	5770
144204659	10316
144204660	54680782
144204661	10850
144204662	12332
144204663	3037
144204664	904
144204665	7362
144204666	2202
144204667	1732
144204668	14782
144204669	196
144204670	7452
144204671	12358480
144204672	967
144204673	2950
144204674	14710
144204675	6374
144204676	9015
144204677	8400
144204678	7416
144204679	1549517
144204680	5147
144204681	12124
144204682	5281034
144204683	6537493
144204684	6597
144204685	3314
144204686	2662
144204687	12749
144204688	60934
144204689	7338
144204690	7703
144204691	5054
144204692	323
144204693	4509
144204694	1057
144204695	637511
144204696	3301
144204697	8425
144204698	5991
144204699	5757
144204700	41375
144204701	5455
144204702	5284416
144204703	7211
144204704	22571
144204705	5281
144204706	5541
144204707	3282
144204708	3346
144204709	667490
144204710	6643
144204711	712
144204712	2758
144204713	5565
144204714	10255083
144204715	643460
144204716	5971
144204717	8857
144204718	7835
144204719	6264
144204720	7573
144204721	5935
144204722	5281007
144204723	244
144204724	5284469
144204725	8362
144204726	4004
144204727	122685
144204728	22985
144204729	108005
144204730	20055509
144204731	61444
144204732	516919
144204733	26041
144204734	9787
144204735	15106
144204736	13266
144204737	9280
144204738	2723598
144204739	25150753
144204740	6435801
144204741	60910
144204742	6436135
144204743	65399
144204744	57364
144204745	60703
144204746	3045335
144204747	5280360
144204748	107930
144204749	60196272
144204750	63009
144204751	6291
144204752	37768
144204753	936
144204754	6253
144204755	7389
144204756	9060
144204757	71417
144204758	51763
144204759	73334
144204760	5462653
144204761	71587
144204762	180559
144204763	148673
144204764	446727
144204765	169743
144204766	6852400
144204767	60196273
144204768	60196274
144204769	36605
144204770	854019
144204771	60839
144204772	10131132
144204773	5881
144204774	23694217
144204775	57004
144204776	6918215
144204777	37274
144204778	3058739
144204779	5983
144204780	6917728
144204781	68626
144204782	18343
144204783	6435335
144204784	6238
144204785	66091
144204786	441337
144204787	636362
